,modelo,precio,combustible,CV,km,lugar,año,link
0,Volkswagen Polo 1.0 TSI Advance 70kW,13.490  ,  Gasolina,Unknown,                 36.000               ,                              Tenerife             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-polo-10-tsi-advance-70kw-en-tenerife.htm?id=6369399
1,Toyota Yaris 1.5 Active,10.500  ,  Gasolina,Unknown,                 62.200               ,                              Guadalajara             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-15-active-en-guadalajara.htm?id=6288427
2,Skoda Fabia 1.4 16v Elegance 100,3.900  ,  Gasolina,Unknown,                 225.000               ,                              Lleida             ,                                  2000             ,https://www.coches.com/coches-segunda-mano/ocasion-skoda-fabia-14-16v-elegance-100-en-lleida.htm?id=6115214
3,Citroen C4 Picasso 1.6e-HDi Exclusive 115,9.750  ,  Diesel,Unknown,                 150.000               ,                              Madrid             ,                                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-16e-hdi-exclusive-115-en-madrid.htm?id=6846177
4,Cupra Formentor 1.5 TSI 150,29.125  ,  Gasolina,Unknown,                 0               ,                              Madrid             ,                                  2022             ,https://www.coches.com/km0/seminuevo-cupra-formentor-15-tsi-150-en-madrid.htm?id=6843709
5,Volkswagen Transp…Kombi 2.0TDI SCR BMT 4M 110kW,23.500  ,  Diesel,Unknown,                 90.000               ,                              Lleida             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-kombi-20tdi-scr-bmt-4m-110kw-en-lleida.htm?id=6843251
6,Ford Fiesta 1.4 TDCi Fun,2.200  ,  Diesel,Unknown,                 128.000               ,                              Malaga             ,                                  2005             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-fiesta-14-tdci-fun-en-malaga.htm?id=6843227
7,Mini Mini One,6.200  ,  Gasolina,Unknown,                 144.000               ,                              Madrid             ,                                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-one-en-madrid.htm?id=6835371
8,Audi A3 Sportback 1.6TDIe Attraction,8.400  ,  Diesel,Unknown,                 187.000               ,                              Almeria             ,                                  2010             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-sportback-16tdie-attraction-en-almeria.htm?id=6828947
9,Bmw Serie 5530dA Touring,21.300  ,  Diesel,Unknown,                 152.000               ,                              Madrid             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-530da-touring-en-madrid.htm?id=6828751
10,Fiat Panda 4x4 1.3Mjt Cross,3.500  ,  Diesel,Unknown,                 71.000               ,                              Sevilla             ,                                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-4x4-13mjt-cross-en-sevilla.htm?id=6820215
11,Ford TransitFT 300M Van 130,5.499  ,  Diesel,Unknown,                 1               ,                              Vizcaya             ,                                  2007             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-300m-van-130-en-vizcaya.htm?id=6798132
12,Audi A4 2.0TDI Advanced edition 110kW,19.450  ,  Diesel,Unknown,                 62.773               ,                              Sevilla             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a4-20tdi-advanced-edition-110kw-en-sevilla.htm?id=6790182
13,Kia Ceed 1.0 T-GDI Eco-Dynamics Concept 120,13.600  ,  Gasolina,Unknown,                 0               ,                              Palencia             ,                                  2022             ,https://www.coches.com/km0/seminuevo-kia-ceed-10-t-gdi-eco-dynamics-concept-120-en-palencia.htm?id=6770128
14,Nissan Qashqai 1.7dCI Acenta 4x4-I,19.500  ,  Diesel,Unknown,                 62.223               ,                              Sevilla             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-17dci-acenta-4x4-i-en-sevilla.htm?id=6759063
15,Volkswagen T-Roc 1.0 TSI Advance,19.400  ,  Gasolina,Unknown,                 56.000               ,                              Madrid             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-t-roc-10-tsi-advance-en-madrid.htm?id=6741011
