,0,precio,combustible,CV,km,lugar,año,link
0,                 Volkswagen  PRO Furgón BMT 30             ,10.800 €, Diesel, 136 cv,                 1 km             ,                  Malaga             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-crafter-pro-furgon-bmt-30-bc-tn-136-en-malaga.htm?id=6841368
1,                 Hyundai i20  1.1CRDI BD Klass             ,7.500 €, Diesel, 75 cv,                 142.000 km             ,                  Caceres             ,                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-11crdi-bd-klass-en-caceres.htm?id=6841162
2,                 Mercedes Clase A 45 S AMG 4Matic+             ,66.900 €, Gasolina, 422 cv,                 9.800 km             ,                  Valencia             ,                  2020             ,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-45-s-amg-4matic+-8g-dct-en-valencia.htm?id=6831859
3,                 Bmw Serie 3 320i             ,2.500 €, Gasolina, 170 cv,                 290.000 km             ,                  Madrid             ,                  2003             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-320i-en-madrid.htm?id=6822725
4,                 Toyota Yaris  1.3 VVT-i Luna             ,4.400 €, Gasolina, 87 cv,                 92.000 km             ,                  Madrid             ,                  2006             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-13-vvt-i-luna-en-madrid.htm?id=6820287
5,                 Volkswagen  Cabrio 1.6             ,6.950 €, Gasolina, 102 cv,                 122.000 km             ,                  Jaen             ,                  2004             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-beetle-cabrio-16-en-jaen.htm?id=6819651
6,                 Nissan Terrano  3.0 DI Elegance             ,7.490 €, Diesel, 154 cv,                 180.000 km             ,                  Granada             ,                  2004             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-30-di-elegance-en-granada.htm?id=6819441
7,                 Renault Talisman  1.8dCi Blue Executive             ,25.000 €, Diesel, 150 cv,                 13.266 km             ,                  Murcia             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-talisman-18dci-blue-executive-110kw-en-murcia.htm?id=6771976
8,                 Audi A4 Allroad  quattro 3.0TDI             ,23.900 €, Diesel, 218 cv,                 151.000 km             ,                  Castellon             ,                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a4+allroad-quattro-30tdi-s-tronic-160kw-en-castellon.htm?id=6768580
9,                 Bmw Serie 3 320d Aut.             ,4.500 €, Diesel, 163 cv,                 349.000 km             ,                  Girona             ,                  2006             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-320d-aut-en-girona.htm?id=6739643
10,                 Renault Mégane  1.5dCi Life 95             ,8.100 €, Diesel, 95 cv,                 109.100 km             ,                  Madrid             ,                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-life-95-en-madrid.htm?id=6696784
11,                 Volkswagen  1.4 TGI GNC             ,13.590 €, Gasolina, 110 cv,                 47.965 km             ,"                  Coruña, A             ",                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-caddy-14-tgi-gnc-trendline-en-coruna+a.htm?id=6664410
12,                 Mg Marvel R  Performance AWD             ,47.300 €, Eléctrico, 288 cv,                 0 km             ,                  Valladolid             ,                  2022             ,https://www.coches.com/km0/seminuevo-mg-marvel+r-performance-awd-70kwh-212kw-en-valladolid.htm?id=6655038
13,                 Seat Ateca  1.5 EcoTSI S&S Style             ,24.200 €, Gasolina, 150 cv,                 21.000 km             ,                  Cordoba             ,                  2021             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-dsg-en-cordoba.htm?id=6651010
