,index,modelo,precio,combustible,CV,km,lugar,año,link
0,60,Volkswagen Caddy 2.0TDI Kombi 4M 90kW,14.800 €,  Diesel,Unknown,                 90.000 km             ,                              Lleida             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-caddy-20tdi-kombi-4m-90kw-en-lleida.htm?id=6843255
1,61,Volkswagen Touareg 3.0TDI V6,6.999 €,  Diesel,Unknown,                 290.000 km             ,                              Sevilla             ,                                  2006             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-touareg-30tdi-v6-en-sevilla.htm?id=6842370
2,62,Mercedes Clase GLCGLC 250d 4Matic Aut.,33.600 €,  Diesel,Unknown,                 152.000 km             ,                              Madrid             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glc-glc-250d-4matic-aut-en-madrid.htm?id=6842256
3,63,Citroen Berlingo BlueHDi S&S Talla M Shine 100,16.900 €,  Diesel,Unknown,                 124.335 km             ,                              Madrid             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-bluehdi-s_s-talla-m-shine-100-en-madrid.htm?id=6841596
4,64,Bmw X4 xDrive 20d,28.000 €,  Diesel,Unknown,                 190.234 km             ,                              Almeria             ,                                  2015             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x4-xdrive-20d-en-almeria.htm?id=6841334
5,65,Land Rover Range … 3.0SDV6 HSE 306 Aut.,37.100 €,  Diesel,Unknown,                 169.800 km             ,                              Almeria             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+sport-30sdv6-hse-306-aut-en-almeria.htm?id=6841188
6,66,Renault Espace 1.6dCi Energy Zen 96kW,18.000 €,  Diesel,Unknown,                 117.414 km             ,                              Almeria             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-espace-16dci-energy-zen-96kw-en-almeria.htm?id=6840099
7,67,Toyota Yaris 1.5 Active,11.990 €,  Gasolina,Unknown,                 50.760 km             ,                              Valencia             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-15-active-en-valencia.htm?id=6839363
8,68,Renault ScénicGrand  1.6dCi Zen 96kW,21.000 €,  Diesel,Unknown,                 50.000 km             ,                              Lleida             ,                                  2018             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--16dci-zen-96kw-en-lleida.htm?id=6838759
9,69,Citroen C1 1.0 VTi City Edition 72,12.490 €,  Gasolina,Unknown,                 7.766 km             ,                              Zaragoza             ,                                  2021             ,https://www.coches.com/km0/seminuevo-citroen-c1-10-vti-city-edition-72-en-zaragoza.htm?id=6836869
10,70,Renault ScénicGrand  1.5dCi Energy Limited 7pl.,14.490 €,  Diesel,Unknown,                 98.040 km             ,                              Zaragoza             ,                                  2016             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--15dci-energy-limited-7pl-en-zaragoza.htm?id=6836843
11,71,Renault Kangoo Fg. 1.5dCi Profesional 66kW,9.000 €,  Diesel,Unknown,                 131.000 km             ,                              Murcia             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-15dci-profesional-66kw-en-murcia.htm?id=6836773
12,72,Citroen Berlingo Multispace 1.6HDi Tonic 75,7.500 €,  Diesel,Unknown,                 253.000 km             ,                              Murcia             ,                                  2014             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-multispace-16hdi-tonic-75-en-murcia.htm?id=6836769
13,73,Peugeot Partner Tepee 1.6BlueHDI Access 100,10.900 €,  Diesel,Unknown,                 175.000 km             ,                              Murcia             ,                                  2017             ,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-tepee-16bluehdi-access-100-en-murcia.htm?id=6835099
14,74,Mazda CX-3 2.0 Skyactiv-G Zenith 2WD 89kW,18.900 €,  Gasolina,Unknown,                 38.124 km             ,                              Valencia             ,                                  2019             ,https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-3-20-skyactiv-g-zenith-2wd-89kw-en-valencia.htm?id=6832295
